TIMESTAMP,主爐爐底1,主爐爐底2,主爐爐底3,CHART_PARA_INDEX
"501","1","主爐爐底1","1327.099975586","℃","2016/12/2 上午 04:42:00","2016/12/2 上午 04:00:00","1340.000","1360.000","1330.000","1370.000","2016/11/19 上午 12:00:00","0","6.71403896136602"
"501","1","主爐爐底1","1326.400024414","℃","2016/12/2 上午 04:53:00","2016/12/2 上午 04:00:00","1340.000","1360.000","1330.000","1370.000","2016/11/19 上午 12:00:00","0","6.71403896136602"
"501","1","主爐爐底1","1326.699951172","℃","2016/12/2 上午 04:57:00","2016/12/2 上午 04:00:00","1340.000","1360.000","1330.000","1370.000","2016/11/19 上午 12:00:00","0","6.71403896136602"
"501","1","主爐爐底1","1326.699951172","℃","2016/12/2 上午 05:13:00","2016/12/2 上午 05:00:00","1340.000","1360.000","1330.000","1370.000","2016/11/19 上午 12:00:00","0","6.71403896136602"
"501","1","主爐爐底1","1326.400024414","℃","2016/12/2 上午 05:21:00","2016/12/2 上午 05:00:00","1340.000","1360.000","1330.000","1370.000","2016/11/19 上午 12:00:00","0","6.71403896136602"
"501","1","主爐爐底1","1326.699951172","℃","2016/12/2 上午 05:33:00","2016/12/2 上午 05:00:00","1340.000","1360.000","1330.000","1370.000","2016/11/19 上午 12:00:00","0","6.71403896136602"
"501","1","主爐爐底1","1326.400024414","℃","2016/12/2 上午 05:42:00","2016/12/2 上午 05:00:00","1340.000","1360.000","1330.000","1370.000","2016/11/19 上午 12:00:00","0","6.71403896136602"
"501","1","主爐爐底1","1326.900024414","℃","2016/12/2 上午 05:53:00","2016/12/2 上午 05:00:00","1340.000","1360.000","1330.000","1370.000","2016/11/19 上午 12:00:00","0","6.71403896136602"
"501","1","主爐爐底1","1327.099975586","℃","2016/12/2 上午 06:00:00","2016/12/2 上午 06:00:00","1340.000","1360.000","1330.000","1370.000","2016/11/19 上午 12:00:00","0","6.71403896136602"
"501","1","主爐爐底1","1326.699951172","℃","2016/12/2 上午 06:12:00","2016/12/2 上午 06:00:00","1340.000","1360.000","1330.000","1370.000","2016/11/19 上午 12:00:00","0","6.71403896136602"
"501","1","主爐爐底1","1326.699951172","℃","2016/12/2 上午 06:33:00","2016/12/2 上午 06:00:00","1340.000","1360.000","1330.000","1370.000","2016/11/19 上午 12:00:00","0","6.71403896136602"
"501","1","主爐爐底1","1326.000000000","℃","2016/12/2 上午 06:43:00","2016/12/2 上午 06:00:00","1340.000","1360.000","1330.000","1370.000","2016/11/19 上午 12:00:00","0","6.71403896136602"
"501","1","主爐爐底1","1325.699951172","℃","2016/12/2 上午 06:47:00","2016/12/2 上午 06:00:00","1340.000","1360.000","1330.000","1370.000","2016/11/19 上午 12:00:00","0","6.71403896136602"
"501","1","主爐爐底1","1325.300048828","℃","2016/12/2 上午 07:03:00","2016/12/2 上午 07:00:00","1340.000","1360.000","1330.000","1370.000","2016/11/19 上午 12:00:00","0","6.71403896136602"
"501","1","主爐爐底1","1325.300048828","℃","2016/12/2 上午 07:13:00","2016/12/2 上午 07:00:00","1340.000","1360.000","1330.000","1370.000","2016/11/19 上午 12:00:00","0","6.71403896136602"
"501","1","主爐爐底1","1325.300048828","℃","2016/12/2 上午 07:31:00","2016/12/2 上午 07:00:00","1340.000","1360.000","1330.000","1370.000","2016/11/19 上午 12:00:00","0","6.71403896136602"
"501","1","主爐爐底1","1325.300048828","℃","2016/12/2 上午 07:40:00","2016/12/2 上午 07:00:00","1340.000","1360.000","1330.000","1370.000","2016/11/19 上午 12:00:00","0","6.71403896136602"
"501","1","主爐爐底1","1325.500000000","℃","2016/12/2 上午 07:53:00","2016/12/2 上午 07:00:00","1340.000","1360.000","1330.000","1370.000","2016/11/19 上午 12:00:00","0","6.71403896136602"
"501","1","主爐爐底1","1325.300048828","℃","2016/12/2 上午 08:03:00","2016/12/2 上午 08:00:00","1340.000","1360.000","1330.000","1370.000","2016/11/19 上午 12:00:00","0","6.71403896136602"
"501","1","主爐爐底1","1324.800048828","℃","2016/12/2 上午 08:13:00","2016/12/2 上午 08:00:00","1340.000","1360.000","1330.000","1370.000","2016/11/19 上午 12:00:00","0","6.71403896136602"
"501","1","主爐爐底1","1325.000000000","℃","2016/12/2 上午 08:19:00","2016/12/2 上午 08:00:00","1340.000","1360.000","1330.000","1370.000","2016/11/19 上午 12:00:00","0","6.71403896136602"
"501","1","主爐爐底1","1324.800048828","℃","2016/12/2 上午 08:33:00","2016/12/2 上午 08:00:00","1340.000","1360.000","1330.000","1370.000","2016/11/19 上午 12:00:00","0","6.71403896136602"
"501","1","主爐爐底1","1325.000000000","℃","2016/12/2 上午 08:34:00","2016/12/2 上午 08:00:00","1340.000","1360.000","1330.000","1370.000","2016/11/19 上午 12:00:00","0","6.71403896136602"
"501","1","主爐爐底1","1325.000000000","℃","2016/12/2 上午 08:50:00","2016/12/2 上午 08:00:00","1340.000","1360.000","1330.000","1370.000","2016/11/19 上午 12:00:00","0","6.71403896136602"
"501","1","主爐爐底1","1325.300048828","℃","2016/12/2 上午 08:57:00","2016/12/2 上午 08:00:00","1340.000","1360.000","1330.000","1370.000","2016/11/19 上午 12:00:00","0","6.71403896136602"
"501","1","主爐爐底1","1324.800048828","℃","2016/12/2 上午 09:12:00","2016/12/2 上午 09:00:00","1340.000","1360.000","1330.000","1370.000","2016/11/19 上午 12:00:00","0","6.71403896136602"
"501","1","主爐爐底1","1324.400024414","℃","2016/12/2 上午 09:23:00","2016/12/2 上午 09:00:00","1340.000","1360.000","1330.000","1370.000","2016/11/19 上午 12:00:00","0","6.71403896136602"
"501","1","主爐爐底1","1324.099975586","℃","2016/12/2 上午 09:29:00","2016/12/2 上午 09:00:00","1340.000","1360.000","1330.000","1370.000","2016/11/19 上午 12:00:00","0","6.71403896136602"
